1,1,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,
1,3,一,1-3,1,,,1,0013-1,,,,,,,,,,
1,4,元,1-4,4,,一兀,3,0014-1,0014-2,0014-3,,,,,,,,
1,5,天,1-5,4,,一大,3,0015-1,0015-2,0015-3,,,,,,,,
1,6,丕,1-6,5,,不一,2,0016-1,0016-2,,,,,,,,,
2,1,吏,2-1,6,,一史,2,0021-1,0021-2,,,,,,,,,
2,2,上(丄),2-2,3,,⺊一,5,0022-1,0022-2,0022-3,0022-4,0022-5,,,,,,
2,3,上(丄),2-3,3,,⺊一,5,0023-1,0023-2,0023-3,0023-4,0023-5,,,,,,
2,4,帝,2-4,9,,󰒑巾,2,0024-1,0024-2,,,,,,,,,
2,5,旁,2-5,10,,󰒑方,4,0025-1,0025-2,0025-3,0025-4,,,,,,,
2,6,下(丅),2-6,3,,一卜,5,0026-1,0026-2,0026-3,0026-4,0026-5,,,,,,
3,1,下(丅),3-1,3,,一卜,5,0031-1,0031-2,0031-3,0031-4,0031-5,,,,,,
3,2,下(丅),3-2,3,,一卜,3,0032-1,0032-2,0032-3,,,,,,,,
3,3,禮,3-3,18,礼,礻豊,4,0033-1,0033-2,0033-3,0033-4,,,,,,,
3,4,禧,3-4,17,,礻喜,2,0034-1,0034-2,,,,,,,,,
3,5,祿,3-5,15,禄,礻彔,5,0035-1,0035-2,0035-3,0035-4,0035-5,,,,,,
3,6,祿,3-6,15,禄,礻彔,5,0036-1,0036-2,0036-3,0036-4,0036-5,,,,,,
4,1,祿,4-1,15,禄,礻彔,2,0041-1,0041-2,,,,,,,,,
4,2,祉,4-2,9,,礻止,2,0042-1,0042-2,,,,,,,,,
4,3,福,4-3,15,,礻畐,5,0043-1,0043-2,0043-3,0043-4,0043-5,,,,,,
4,4,福,4-4,15,,礻畐,5,0044-1,0044-2,0044-3,0044-4,0044-5,,,,,,
4,5,福,4-5,15,,礻畐,3,0045-1,0045-2,0045-3,,,,,,,,
4,6,祐,4-6,10,,礻右,2,0046-1,0046-2,,,,,,,,,
5,1,祺,5-1,13,,礻其,1,0051-1,,,,,,,,,,
5,2,祗,5-2,10,,礻氐,1,0052-1,,,,,,,,,,
5,3,神,5-3,10,,礻申,4,0053-1,0053-2,0053-3,0053-4,,,,,,,
5,4,神,5-4,10,,礻申,2,0054-1,0054-2,,,,,,,,,
5,5,祕,5-5,10,,礻必,2,0055-1,0055-2,,,,,,,,,
5,6,齋,5-6,18,斋,齊小,1,0056-1,,,,,,,,,,
6,1,祭,6-1,11,,󰒛示,5,0061-1,0061-2,0061-3,0061-4,0061-5,,,,,,
6,2,祭,6-2,11,,󰒛示,5,0062-1,0062-2,0062-3,0062-4,0062-5,,,,,,
6,3,祀,6-3,8,,礻巳,3,0063-1,0063-2,0063-3,,,,,,,,
6,4,祖,6-4,10,,礻且,2,0064-1,0064-2,,,,,,,,,
6,5,祠,6-5,10,,礻司,3,0065-1,0065-2,0065-3,,,,,,,,
6,6,禴(礿),6-6,22,礿,礻龠,1,0066-1,,,,,,,,,,
7,1,祝,7-1,10,,礻兄,4,0071-1,0071-2,0071-3,0071-4,,,,,,,
7,2,祈,7-2,9,,礻斤,1,0072-1,,,,,,,,,,
7,3,社,7-3,8,,礻土,1,0073-1,,,,,,,,,,
7,4,禁,7-4,13,,林示,5,0074-1,0074-2,0074-3,0074-4,0074-5,,,,,,
7,5,䘨,7-5,11,,衤交,1,0075-1,,,,,,,,,,
7,6,三,7-6,3,,一二,2,0076-1,0076-2,,,,,,,,,
